scope,function,location,operation,dated
uds,expweight,file.info.forms.resolved.expweight,update,FALSE
uds,expappear,file.info.forms.resolved.expappear,update,FALSE
uds,expsexorn,file.info.forms.resolved.expsexorn,update,FALSE
uds,expeducinc,file.info.forms.resolved.expeducinc,update,FALSE
uds,expdisab,file.info.forms.resolved.expdisab,update,FALSE
uds,expskin,file.info.forms.resolved.expskin,update,FALSE
uds,expother,file.info.forms.resolved.expother,update,FALSE
uds,expnotapp,file.info.forms.resolved.expnotapp,update,FALSE
uds,expnoans,file.info.forms.resolved.expnoans,update,FALSE
uds,expstrs,file.info.forms.resolved.expstrs,update,FALSE
uds,inbirmo,file.info.forms.resolved.inbirmo,update,FALSE
uds,inbiryr,file.info.forms.resolved.inbiryr,update,FALSE
uds,insex,file.info.forms.resolved.insex,update,FALSE
uds,newinf,file.info.forms.resolved.newinf,update,FALSE
uds,inhisp,file.info.forms.resolved.inhisp,update,FALSE
uds,inhispor,file.info.forms.resolved.inhispor,update,FALSE
uds,inhispox,file.info.forms.resolved.inhispox,update,FALSE
uds,inrace,file.info.forms.resolved.inrace,update,FALSE
uds,inracex,file.info.forms.resolved.inracex,update,FALSE
uds,inrasec,file.info.forms.resolved.inrasec,update,FALSE
uds,inrasecx,file.info.forms.resolved.inrasecx,update,FALSE
uds,inrater,file.info.forms.resolved.inrater,update,FALSE
uds,inraterx,file.info.forms.resolved.inraterx,update,FALSE
uds,ineduc,file.info.forms.resolved.ineduc,update,FALSE
uds,inrelto,file.info.forms.resolved.inrelto,update,FALSE
uds,inreltox,file.info.forms.resolved.inreltox,update,FALSE
uds,inknown,file.info.forms.resolved.inknown,update,FALSE
uds,inlivwth,file.info.forms.resolved.inlivwth,update,FALSE
uds,invisits,file.info.forms.resolved.invisits,update,FALSE
uds,incalls,file.info.forms.resolved.incalls,update,FALSE
uds,inrely,file.info.forms.resolved.inrely,update,FALSE
uds,incntmod,file.info.forms.resolved.incntmod,update,FALSE
uds,incnttim,file.info.forms.resolved.incnttim,update,FALSE
uds,incntmdx,file.info.forms.resolved.incntmdx,update,FALSE
uds,mometpr,file.info.forms.resolved.mometpr,update,FALSE
uds,dadetpr,file.info.forms.resolved.dadetpr,update,FALSE
uds,sib1etpr,file.info.forms.resolved.sib1etpr,update,FALSE
uds,sib2etpr,file.info.forms.resolved.sib2etpr,update,FALSE
uds,sib3etpr,file.info.forms.resolved.sib3etpr,update,FALSE
uds,sib4etpr,file.info.forms.resolved.sib4etpr,update,FALSE
uds,sib5etpr,file.info.forms.resolved.sib5etpr,update,FALSE
uds,sib6etpr,file.info.forms.resolved.sib6etpr,update,FALSE
uds,sib7etpr,file.info.forms.resolved.sib7etpr,update,FALSE
uds,sib8etpr,file.info.forms.resolved.sib8etpr,update,FALSE
